product_type,,,,,snapshot_date,available_credit,available_fum,transaction_id,,transaction_effective_date,transaction_amount,credit_debit_indicator,statement_description,high_level_transaction_purpose,mid_level_transaction_purpose,low_level_transaction_purpose,transaction_code,merchant_id,product_type_credit_card,snapshot_date_credit_card,statement_due_day,closing_balance,minimum_repayment_amount,previous_repayment_date,previous_repayment_amount
offset,,,,,4/28/2023,456311.61,439186.62,706,,11/27/2023,5487.03,credit,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,712,6528,credit card,10/19/2023,23,787782.62,320.3,4/27/2024,8174.98
transaction,,,,,11/13/2023,649166.1,527386.97,707,,08-09-2023,1641.49,credit,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus,luctus nec molestie sed justo pellentesque viverra pede ac diam,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,177,4003,credit card,10/23/2023,22,462428.85,1854.08,9/27/2023,1237.81
personal loan,,,,,5/23/2023,554470.34,460290.77,708,,2/29/2024,3108.76,debit,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,351,3526,credit card,12/27/2023,3,190444.61,6370.5,09-05-2023,6362.95
savings,,,,,10-12-2023,60203.44,903051.16,709,,2/25/2024,5975.84,debit,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,571,2296,credit card,5/26/2023,24,449448.68,6435.6,8/21/2023,6707.82
credit card,,,,,01-03-2024,288677.88,347628.32,710,,10-06-2023,4374,debit,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,627,1923,credit card,06-08-2023,20,748386.32,2847.19,3/28/2024,9095.53
credit card,,,,,7/22/2023,518503.12,466364.79,711,,7/21/2023,6043.67,credit,iaculis diam erat fermentum justo nec condimentum neque sapien placerat,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,799,5945,credit card,1/26/2024,10,119950.53,277.69,07-01-2023,4044.3
offset,,,,,9/13/2023,833635.94,521471.11,712,,4/28/2023,4913.01,debit,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea,555,5123,credit card,07-11-2023,23,996143.97,9664.42,08-01-2023,364.73
credit card,,,,,9/29/2023,378338.67,631443.29,713,,10-07-2023,4171.85,credit,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,655,2705,credit card,07-11-2023,26,87681.79,2110.54,02-06-2024,6694.75
transaction,,,,,11-11-2023,463429.62,298005.36,714,,11/28/2023,8326.29,credit,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,accumsan felis ut at dolor quis odio consequat varius integer ac leo,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,nulla tellus in sagittis dui vel nisl duis ac nibh fusce,511,1386,credit card,12-06-2023,10,609989.25,822.94,2/27/2024,7942.35
transaction,,,,,11/29/2023,430625.31,775543.85,715,,5/21/2023,9261.15,credit,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,423,4616,credit card,09-04-2023,19,571812.44,4867.57,08-09-2023,6668.06
transaction,,,,,10/20/2023,889001.44,710385.28,716,,2/17/2024,5572.49,credit,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,334,2588,credit card,11/15/2023,25,95657.57,8066.25,5/15/2023,2119.92
home loan,,,,,12/21/2023,485692.33,813884.96,717,,10/15/2023,3810.05,debit,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus,512,1298,credit card,09-08-2023,26,772426.28,9042.78,5/22/2023,4389.73
transaction,,,,,01-10-2024,359541.47,748983.5,718,,10-04-2023,4991.56,credit,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,855,7476,credit card,02-08-2024,30,59211.51,7994.45,7/18/2023,8967.78
transaction,,,,,2/28/2024,595612.22,216401.64,719,,07-10-2023,7071.59,credit,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,347,1919,credit card,03-10-2024,25,850323.07,6449.36,5/29/2023,488.81
home loan,,,,,3/23/2024,297.2,129011.41,720,,5/18/2023,7554.22,debit,tristique fusce congue diam id ornare imperdiet sapien urna pretium,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,868,1375,credit card,3/23/2024,1,724724.9,4455.43,08-03-2023,797.03
offset,,,,,03-10-2024,40973.11,904666.89,721,,8/23/2023,4274.18,credit,in consequat ut nulla sed accumsan felis ut at dolor quis odio,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,422,1520,credit card,8/17/2023,31,104803.54,2422.47,03-08-2024,7668.55
credit card,,,,,02-06-2024,2561.62,330422.8,722,,01-12-2024,1356.67,credit,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,302,3656,credit card,11/14/2023,3,979699.86,4133.4,2/24/2024,715.32
home loan,,,,,11/21/2023,649846.67,150315.8,723,,6/23/2023,3914.27,debit,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,459,2945,credit card,4/20/2024,30,147886.36,1990.59,04-03-2024,2078.68
transaction,,,,,11-04-2023,534709.45,725174.08,724,,04-07-2024,2504.91,credit,erat eros viverra eget congue eget semper rutrum nulla nunc,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,725,2622,credit card,8/31/2023,31,898680.94,8088.34,7/30/2023,2972.68
transaction,,,,,11/18/2023,769279.31,95104.38,725,,06-01-2023,6507.4,credit,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,543,8449,credit card,10/14/2023,28,138460.15,910.53,8/21/2023,9734.17
home loan,,,,,10-06-2023,262998.57,419669.19,726,,10-04-2023,8680.11,debit,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,felis donec semper sapien a libero nam dui proin leo odio porttitor,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,833,5043,credit card,3/27/2024,26,75197.99,5822.28,8/16/2023,1534.5
transaction,,,,,3/19/2024,636864.22,659715.06,727,,8/29/2023,1454.97,debit,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,574,8901,credit card,12/26/2023,18,679810.01,2763.56,12/25/2023,9107.4
personal loan,,,,,4/20/2024,670227.34,594035.53,728,,02-11-2024,3584.57,debit,elementum nullam varius nulla facilisi cras non velit nec nisi,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,839,3082,credit card,1/14/2024,13,795434.72,8128.37,1/21/2024,4720.75
savings,,,,,8/16/2023,815334.82,181184.88,729,,06-05-2023,8050.66,debit,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,253,2245,credit card,3/17/2024,7,613747.38,1014.74,11/30/2023,5031.46
credit card,,,,,07-08-2023,851574.22,77226.53,730,,12-11-2023,1617.48,debit,nunc nisl duis bibendum felis sed interdum venenatis turpis enim,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,818,4080,credit card,06-12-2023,30,662223.06,3552.92,07-02-2023,7683.38
home loan,,,,,9/25/2023,459305.69,327518.65,731,,1/24/2024,1894.97,debit,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,945,5169,credit card,8/23/2023,20,37817.94,8854.41,4/18/2024,6405.12
home loan,,,,,6/27/2023,416576.24,289293.79,732,,11/21/2023,7392.54,credit,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,395,8840,credit card,05-10-2023,14,831751.45,1631.32,12/15/2023,6985.82
savings,,,,,5/24/2023,33195.74,373351.05,733,,06-06-2023,6255.79,credit,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,643,4367,credit card,09-08-2023,25,946270.31,3793.08,7/23/2023,6491.44
savings,,,,,10/13/2023,421968.36,416132.4,734,,4/19/2024,8796.03,debit,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,448,5758,credit card,12/27/2023,23,350508.02,8921.94,9/16/2023,3470.96
personal loan,,,,,8/17/2023,843014.42,862025.19,735,,4/24/2024,3968.79,debit,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et,nullam varius nulla facilisi cras non velit nec nisi vulputate,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,314,2035,credit card,10/30/2023,26,945433.7,817.05,10/30/2023,3669.67
offset,,,,,9/16/2023,668037.08,161488.31,736,,10/22/2023,6079.02,credit,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,et ultrices posuere cubilia curae nulla dapibus dolor vel est,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,747,8525,credit card,1/15/2024,2,458176.63,3667.48,8/30/2023,141
transaction,,,,,11-08-2023,224131.81,811960.75,737,,12-12-2023,480.53,debit,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,180,3743,credit card,09-01-2023,31,462881.35,4382.37,1/21/2024,3811.37
transaction,,,,,7/27/2023,550514.82,672158.86,738,,9/21/2023,6293.05,credit,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,312,2199,credit card,09-11-2023,13,430807.03,5446.2,2/18/2024,3829.57
home loan,,,,,12-11-2023,988552.36,6319.31,739,,12-07-2023,7631.35,debit,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,590,8197,credit card,08-03-2023,2,508756.01,2785.98,10/24/2023,8956.72
personal loan,,,,,12/21/2023,385717,379699.44,740,,1/30/2024,3450.09,debit,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,211,1584,credit card,7/21/2023,11,468284.3,1987.8,08-12-2023,6591
offset,,,,,1/15/2024,9073.5,601922.01,741,,12/17/2023,4062.02,credit,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,903,7272,credit card,6/17/2023,10,379309.89,7611.44,10-12-2023,6111.72
personal loan,,,,,12-01-2023,748230.35,12900.14,742,,4/28/2023,3399.84,credit,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,962,6943,credit card,2/19/2024,10,686974.62,324.49,01-07-2024,2926.68
savings,,,,,12/15/2023,923919.64,699588.68,743,,10/17/2023,702.26,debit,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,porttitor pede justo eu massa donec dapibus duis at velit eu est,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,485,1682,credit card,11/14/2023,20,638887.51,5176.56,12-06-2023,8133.2
credit card,,,,,01-06-2024,19769.92,775630.01,744,,5/26/2023,1259.98,debit,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,756,7611,credit card,12/27/2023,19,757279.12,9090.22,8/21/2023,7360.84
transaction,,,,,10-01-2023,858435.9,82408.74,745,,4/29/2023,5877.66,debit,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,811,8017,credit card,1/25/2024,10,475454.06,5007.51,8/22/2023,8316.7
savings,,,,,03-09-2024,746604.65,566486.61,746,,8/17/2023,7522.56,credit,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,163,2385,credit card,11-11-2023,4,759452.79,6538.75,10/24/2023,5764.75
home loan,,,,,04-11-2024,380183.61,989354.42,747,,3/27/2024,3556.68,credit,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,855,4928,credit card,10/14/2023,10,235055.09,3940.72,07-01-2023,9205.93
home loan,,,,,3/28/2024,466972.49,41656.05,748,,6/30/2023,2034.52,debit,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,725,2679,credit card,03-12-2024,10,822775.77,7791.86,11-06-2023,6103.8
offset,,,,,2/16/2024,589243.93,747043.3,749,,5/20/2023,3139.01,debit,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,753,3872,credit card,11/18/2023,2,329463.92,7416,07-12-2023,6132.65
personal loan,,,,,08-01-2023,871981.8,517098.09,750,,11/22/2023,5111.44,credit,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,441,4224,credit card,10/19/2023,2,646033.09,3429.19,6/18/2023,8039.42
transaction,,,,,04-01-2024,292799.52,622957.7,751,,1/19/2024,7701.06,credit,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,464,3763,credit card,6/28/2023,3,348416.7,336.79,11/16/2023,6293.27
transaction,,,,,01-11-2024,623370.84,953741.61,752,,05-07-2023,7727.22,debit,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,570,9479,credit card,11-01-2023,20,247875.86,3847.38,1/24/2024,3466.71
credit card,,,,,11/27/2023,642579.97,211806.87,753,,2/23/2024,2016.12,debit,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,239,4734,credit card,10/22/2023,6,14347.44,1964.64,7/13/2023,5049.74
savings,,,,,9/25/2023,602541.87,756410.16,754,,10/30/2023,5082.96,credit,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,919,5798,credit card,04-05-2024,2,9816.41,4272.89,3/16/2024,3234.6
credit card,,,,,9/24/2023,537962.4,334575.09,755,,12/19/2023,9867.63,credit,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,127,9594,credit card,03-12-2024,7,449734.38,753.31,11/24/2023,3268.12
transaction,,,,,05-12-2023,678390.62,353308.48,756,,8/29/2023,697.93,debit,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,841,4534,credit card,3/31/2024,6,996291.65,2712.21,01-11-2024,2345.18
savings,,,,,7/25/2023,44634.14,425887.41,757,,6/14/2023,2799.61,debit,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,257,2673,credit card,04-04-2024,10,354825.42,562.84,1/17/2024,4716.14
home loan,,,,,1/15/2024,826784.16,626321.12,758,,5/31/2023,8842.16,debit,urna ut tellus nulla ut erat id mauris vulputate elementum,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,689,4408,credit card,3/26/2024,21,659449.24,6369.64,2/19/2024,7409.04
credit card,,,,,01-09-2024,928666.06,107819,759,,05-01-2023,4159.63,credit,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,mi sit amet lobortis sapien sapien non mi integer ac neque duis,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,177,9480,credit card,10/24/2023,26,396128.7,2267.5,05-03-2023,8624.22
